Phase3.CSV,,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,,
0.33,0.1,60,200,1,6,1,,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.131854159,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[13.554047167631513, 3.976539589442808, 6.864975720124478]",200,0.1,,5,seconds,,,,
"['filip2', 'hayden2', 'roy1']",39.15625919,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[10.52853797799157, 100, 6.940239580886543]",150,0.1,,3.75,seconds,,,150,39.15625919
"['filip2', 'hayden2', 'roy1']",8.131854159,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[13.554047167631513, 3.976539589442808, 6.864975720124478]",200,0.1,,5,seconds,,,200,8.131854159
"['filip2', 'hayden2', 'roy1']",21.33675777,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[18.20241775275752, 40.02318548387097, 5.784670082816947]",250,0.1,,6.25,seconds,,,250,21.33675777
"['filip2', 'hayden2', 'roy1']",23.95556861,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[20.234904970453197, 46.779156327543426, 4.852644543033011]",300,0.1,,7.5,seconds,,,300,23.95556861
"['filip2', 'hayden2', 'roy1']",23.97134895,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[20.847744768127697, 45.58770806658131, 5.478594029469689]",350,0.1,,8.75,seconds,,,350,23.97134895
"['filip2', 'hayden2', 'roy1']",27.2556515,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[21.938531462728147, 51.03796197909439, 8.790461047087819]",400,0.1,,10,seconds,,,400,27.2556515
"['filip2', 'hayden2', 'roy1']",32.13936487,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[23.62445390079642, 65.066048560698, 7.72759213541417]",450,0.1,,11.25,seconds,,,450,32.13936487
"['filip2', 'hayden2', 'roy1']",33.5438243,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[23.645540630430972, 69.26438817121699, 7.721544103767432]",500,0.1,,12.5,seconds,,,500,33.5438243
"['filip2', 'hayden2', 'roy1']",32.87905986,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[23.97624801395593, 67.18046674858992, 7.4804648297205]",550,0.1,,13.75,seconds,,,550,32.87905986
"['filip2', 'hayden2', 'roy1']",32.85695802,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[24.37001807136374, 65.27547028767239, 8.925385711555313]",600,0.1,,15,seconds,,,600,32.85695802
"['filip2', 'hayden2', 'roy1']",34.10265412,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[24.992954937382432, 68.37918318276547, 8.935824251664993]",650,0.1,,16.25,seconds,,,650,34.10265412
"['filip2', 'hayden2', 'roy1']",32.77379816,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[26.23432824455327, 63.07848940908784, 9.008576840876954]",700,0.1,,17.5,seconds,,,700,32.77379816
"['filip2', 'hayden2', 'roy1']",34.10918699,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[27.812594277050906, 65.72409426616065, 8.790872440810794]",750,0.1,,18.75,seconds,,,750,34.10918699
"['filip2', 'hayden2', 'roy1']",34.54272376,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[28.03383515613681, 65.26519366892352, 10.329142456366673]",800,0.1,,20,seconds,,,800,34.54272376
