Phase3.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,
0.33,0.1,60,200,1,6,1,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",46.91624622,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[15.456581571965936, 100, 25.292157098721788]",200,0.09,,,,,0.09,46.91624622
"['filip2', 'hayden2', 'roy1']",8.131854159,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[13.554047167631513, 3.976539589442808, 6.864975720124478]",200,0.1,,,,,0.1,8.131854159
"['filip2', 'hayden2', 'roy1']",14.49484083,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[10.18235278517156, 28.08145975887911, 5.220709934640397]",200,0.11,,,,,0.11,14.49484083
"['filip2', 'hayden2', 'roy1']",14.350703,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[9.671486494716506, 28.08145975887911, 5.2991627609077865]",200,0.12,,,,,0.12,14.350703
"['filip2', 'hayden2', 'roy1']",13.95669088,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[9.88530222324457, 27.015959412940678, 4.968811000456453]",200,0.13,,,,,0.13,13.95669088
"['filip2', 'hayden2', 'roy1']",18.11979852,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[9.787293420838916, 38.92684340386924, 5.645258731547098]",200,0.14,,,,,0.14,18.11979852
"['filip2', 'hayden2', 'roy1']",15.26290272,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[6.363822642474488, 34.586998751779056, 4.837886768245878]",200,0.15,,,,,0.15,15.26290272
"['filip2', 'hayden2', 'roy1']",15.1099371,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[5.831454956475639, 34.65423540564226, 4.844120946573539]",200,0.16,,,,,0.16,15.1099371
"['filip2', 'hayden2', 'roy1']",15.05536062,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[5.667725501348094, 34.65423540564226, 4.844120946573539]",200,0.17,,,,,0.17,15.05536062
"['filip2', 'hayden2', 'roy1']",14.12974095,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[5.64547357552245, 32.176122339568366, 4.567626928792957]",200,0.18,,,,,0.18,14.12974095
